video_url,author,text,time
https://www.youtube.com/watch?v=hzUG58aJ124,@GGytGaming,"Most wanted ini masih yang terbaik tanpa adanya bocil p2w tanpa ada bocil cheater dan tanpa ada bocil android
Most wanted redux mengecewakan :(",4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@yoelvarel1thunlalu.820,Emang ada yang nonton dari 2025?,3 bulan yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@almerstsy8111,masih ada yg nonton dari 2024?,4 bulan yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@yndtks5996,Sorry bang telat 1 tahun,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Nathan-b1k,Gua percaya yg nonton ini sebagian besar pengen nostalgia ps 2 wkwk,5 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@NOOBSAIBOT9,Siapa yang nonton pas 2024,10 bulan yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Rizkipr22,"Nostalgia jaman 12 tahun lalu. Tiap weekend gw mainin ini bareng temen ganti2 an, klo balapan temen gw yg main, klo bounty gw yg main. Yg paling gw inget selalu deg2an bgt klo lagi kabur dari polisi bintang 4 keatas. Mobil andalan buat balap itu lancer dan buat bounty mustang wkwk duh what a good old days 😁",3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Jumali-cb7oq,hallo bang gw dari masa depan,7 bulan yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@wikxreal,Masih ada yang nonton 2025?,3 bulan yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@maulanafathah2335,Cuma nonton konten ini kita pun bisa merasakan kenangan masa kecil yang indah,3 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@riskasafitri6948,Nostalgia banget game ini 😭,2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@ajimahaputra4084,0:00 sungguh indahnya pemandangan ini!!,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@radisameyrakushuma4821,0:00 wah ibumu pasti marah brando,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@toruaizawa7683,"Buat seorang baj*ngan yg pinjam memory card PS 2 hasil patungan saya, dengan 2 karib saya, terus ngilang, terima kasih sudah mengagalkan saya untuk menamatkan NFS Most Wanted.",5 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@BobyFu41Channel,hadir bang. telad 3 tahun. baru ngerti channel lu setelah 12jt subscribe. makasih udah bawa kita nostalgia masa² SMP SMK setiap hari ke rental mainin game2 yg lu buat konten. btw main lu gg banget. kalau di rental istilah nya dulu NDEWO 👍😆,1 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@gilangfrza,"ini video bang windah yg pertama kali gw tonton dan pertama kali jg ngeliat dan tau bang windah, dan ga nyangka bang windah adalah salah satu penghibur gw di sela2 waktu kesibukan gw yg udh makin tua ini. sukses terus bang, gw disini selalu mendoakan yg terbaik untuk abang",2 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@Hakaphile,salah satu video pertama di channel Windah Basudara yang aku tonton beberapa tahun yg lalu!! yaitu ketika mencari tutor agar grafik most wanted hd dan video ini yang aku pilih 😅… gila ga kerasa sekarang sudah semakin terkenal ya bang… semangat dan sehat selalu!!,1 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@arkabang10,9:41 sheeeshhh smooth transition🥵🔥,1 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@darreneren,2:33 smooth transition🔥🔥,9 bulan yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@StrayXc,00:00 Brando be like: maap leg  v:,4 tahun yang lalu (diedit)
https://www.youtube.com/watch?v=hzUG58aJ124,@Nthnaze,Wanjay di pin,4 tahun yang lalu
https://www.youtube.com/watch?v=hzUG58aJ124,@aidil713,Anjay,4 tahun yang lalu
